	Manual	Gemma 3 4B (0-shot)	Gemma 3 4B (1-shot)	Gemma 3 4B (5-shot)	Llama 3.1 8B (0-shot)	Llama 3.1 8B (1-shot)	Llama 3.1 8B (5-shot)	Mistral 7B (0-shot)	Mistral 7B (1-shot)	Mistral 7B (5-shot)	Phi-4 14B (0-shot)	Phi-4 14B (1-shot)	Phi-4 14B (5-shot)
Manual	1.0	0.4538690476190476	0.5334821428571429	0.5096726190476191	0.5044642857142857	0.49181547619047616	0.4739583333333333	0.5089285714285714	0.48735119047619047	0.5007440476190477	0.5409226190476191	0.4888392857142857	0.49181547619047616
Gemma 3 4B (0-shot)	0.4538690476190476	0.8790141896938013	0.6460044809559373	0.5257654966392831	0.5541448842419716	0.5309932785660941	0.5063480209111277	0.5265123226288275	0.5309932785660941	0.5115758028379388	0.5758028379387603	0.5317401045556386	0.5466766243465273
Gemma 3 4B (1-shot)	0.5334821428571429	0.6460044809559373	0.9992531740104555	0.5944734876773712	0.672890216579537	0.6706497386109037	0.6333084391336818	0.6131441374159821	0.6579536967886482	0.6572068707991038	0.6825989544436146	0.6392830470500374	0.6407766990291263
Gemma 3 4B (5-shot)	0.5096726190476191	0.5257654966392831	0.5944734876773712	1.0	0.5690814040328603	0.5862584017923824	0.619865571321882	0.6474981329350261	0.6011949215832711	0.6362957430918595	0.5294996265870052	0.6303211351755041	0.585511575802838
Llama 3.1 8B (0-shot)	0.5044642857142857	0.5541448842419716	0.672890216579537	0.5690814040328603	1.0	0.8342046303211351	0.7781926811053025	0.7147124719940254	0.7610156833457804	0.7460791635548917	0.7087378640776699	0.7528005974607916	0.7079910380881255
Llama 3.1 8B (1-shot)	0.49181547619047616	0.5309932785660941	0.6706497386109037	0.5862584017923824	0.8342046303211351	1.0	0.8401792382374906	0.7199402539208365	0.7759522031366691	0.760268857356236	0.6654219566840927	0.7692307692307693	0.7035100821508589
Llama 3.1 8B (5-shot)	0.4739583333333333	0.5063480209111277	0.6333084391336818	0.619865571321882	0.7781926811053025	0.8401792382374906	1.0	0.7214339058999253	0.7528005974607916	0.7580283793876027	0.6452576549663929	0.7886482449589246	0.719193427931292
Mistral 7B (0-shot)	0.5089285714285714	0.5265123226288275	0.6131441374159821	0.6474981329350261	0.7147124719940254	0.7199402539208365	0.7214339058999253	1.0	0.8200149365197908	0.8005974607916355	0.6430171769977595	0.7498132935026139	0.6803584764749814
Mistral 7B (1-shot)	0.48735119047619047	0.5309932785660941	0.6579536967886482	0.6011949215832711	0.7610156833457804	0.7759522031366691	0.7528005974607916	0.8200149365197908	0.9970126960418223	0.8864824495892457	0.666168782673637	0.7640029873039582	0.713965646004481
Mistral 7B (5-shot)	0.5007440476190477	0.5115758028379388	0.6572068707991038	0.6362957430918595	0.7460791635548917	0.760268857356236	0.7580283793876027	0.8005974607916355	0.8864824495892457	0.9992531740104555	0.6377893950709485	0.7632561613144138	0.6967886482449589
Phi-4 14B (0-shot)	0.5409226190476191	0.5758028379387603	0.6825989544436146	0.5294996265870052	0.7087378640776699	0.6654219566840927	0.6452576549663929	0.6430171769977595	0.666168782673637	0.6377893950709485	1.0	0.6833457804331591	0.7251680358476476
Phi-4 14B (1-shot)	0.4888392857142857	0.5317401045556386	0.6392830470500374	0.6303211351755041	0.7528005974607916	0.7692307692307693	0.7886482449589246	0.7498132935026139	0.7640029873039582	0.7632561613144138	0.6833457804331591	1.0	0.7849141150112023
Phi-4 14B (5-shot)	0.49181547619047616	0.5466766243465273	0.6407766990291263	0.585511575802838	0.7079910380881255	0.7035100821508589	0.719193427931292	0.6803584764749814	0.713965646004481	0.6967886482449589	0.7251680358476476	0.7849141150112023	1.0
